Response,Response Type,Learner,Response Content,Source,Response Time Type,Point In Time Value,Point In Time Reference System,Interval Start Value,Interval Start Reference System,Interval End Value,Response Time Key,Interval End Reference System,Affects Awareness Observation,Affects Awareness Observation Topic,Affects Awareness Observation Skill
Identifier Hint Response,Response,Learner Blair,Look for whether the identifier is a URI namespace hash URI or slash URI before classifying it,Learning Platform,TimeInterval,,,2026-01-15T10:00:00Z,ISO 8601 UTC,2026-01-15T10:08:00Z,2026-01-15T10:00:00Z to 2026-01-15T10:08:00Z,ISO 8601 UTC,Identifier Awareness After Check,URI,Linked Data Identifier Recognition
Ontology Explanation Response,Response,Learner Alex,Your explanation identifies classes and properties; revise it to mention axioms and shared semantics,Instructor Reviewer,PointInTime,2026-01-16T14:30:00Z,ISO 8601 UTC,,,,2026-01-16T14:30:00Z,,Ontology Awareness After Review,Ontology,Ontology Concept Explanation
Triple Component Hint Response,Response,Learner Blair,Separate the subject predicate and object before deciding whether the object is a resource or literal,Learning Platform,TimeInterval,,,2026-01-17T11:00:00Z,ISO 8601 UTC,2026-01-17T11:15:00Z,2026-01-17T11:00:00Z to 2026-01-17T11:15:00Z,ISO 8601 UTC,RDF Triple Awareness After Quiz,Triple,RDF Triple Interpretation
Schema Reasoning Response,Response,Learner Casey,Your domain and range interpretation is mostly correct; add the inferred class membership explicitly,Instructor Reviewer,PointInTime,2026-01-18T15:20:00Z,ISO 8601 UTC,,,,2026-01-18T15:20:00Z,,RDFS Schema Awareness After Review,Schema,RDFS Schema Reasoning
SPARQL Pattern Hint Response,Response,Learner Blair,Start with the graph pattern inside WHERE and bind the selected variable in the SELECT clause,Learning Platform,TimeInterval,,,2026-01-19T13:00:00Z,ISO 8601 UTC,2026-01-19T13:20:00Z,2026-01-19T13:00:00Z to 2026-01-19T13:20:00Z,ISO 8601 UTC,SPARQL Awareness After Practice,Query,SPARQL Query Construction
OWL Modeling Response,Response,Learner Casey,Your model uses object properties correctly but needs a clearer cardinality axiom,Instructor Reviewer,PointInTime,2026-01-20T16:40:00Z,ISO 8601 UTC,,,,2026-01-20T16:40:00Z,,OWL Modeling Awareness After Review,OWL,OWL Axiom Analysis
Mastery Response,Response,Learner Casey,The reassessment indicates mastery of RDF triples and basic RDFS schema reasoning,Learning Platform,PointInTime,2026-01-21T10:35:00Z,ISO 8601 UTC,,,,2026-01-21T10:35:00Z,,RDF RDFS Mastery Awareness,Schema,RDF RDFS Mastery Demonstration
Corrective Feedback on Identifier Patterns,LearningFeedback,Learner Blair,Identifier patterns were confused with general labels; review URI namespace hash and slash examples,Learning Platform,PointInTime,2026-01-15T10:09:00Z,ISO 8601 UTC,,,,2026-01-15T10:09:00Z,,Identifier Awareness After Check,URI,Linked Data Identifier Recognition
Strategic Feedback on Ontology Explanation,LearningFeedback,Learner Alex,Connect ontology components to the purpose of shared machine-interpretable meaning,Instructor Reviewer,PointInTime,2026-01-16T14:30:00Z,ISO 8601 UTC,,,,2026-01-16T14:30:00Z,,Ontology Awareness After Review,Ontology,Ontology Concept Explanation
Corrective Feedback on Triple Components,LearningFeedback,Learner Blair,The predicate was identified correctly but the literal object was mistaken for a resource,Learning Platform,PointInTime,2026-01-17T11:16:00Z,ISO 8601 UTC,,,,2026-01-17T11:16:00Z,,RDF Triple Awareness After Quiz,Triple,RDF Triple Interpretation
