Pedagogical Technique,Pedagogical Technique Description,Pedagogical Objective,Pedagogical Objective Description
Retrieval Practice,Ask learners to recall information without looking at notes to strengthen memory,Improve Recall,Increase learner ability to retrieve foundational knowledge accurately
Concept Mapping,Ask learners to organize concepts and relationships visually,Build Conceptual Understanding,Help learners connect concepts and explain relationships among ideas
Worked Example,Show a completed example with reasoning steps made explicit,Reduce Cognitive Load,Support learners by making expert reasoning and solution structure visible
Guided Practice,Provide partially supported practice with prompts hints or checkpoints,Support Skill Development,Help learners move from modeled reasoning toward independent performance
Socratic Questioning,Use sequenced questions to reveal assumptions evidence and reasoning,Develop Critical Thinking,Help learners examine reasoning and justify claims with evidence
Peer Explanation,Ask learners to explain reasoning or solutions to peers,Promote Elaboration,Strengthen understanding through explanation comparison and clarification
Reflection Prompt,Ask learners to describe what they learned how they learned it and what remains unclear,Build Metacognition,Help learners monitor understanding strategy and next steps
Rubric Based Review,Use explicit criteria to evaluate work and guide revision,Improve Judgment,Help learners judge quality using transparent criteria or standards
Project Brief,Present an authentic scenario with constraints audience and goals,Increase Authentic Engagement,Connect learning activity to a meaningful problem or real-world task
Corrective Mini Lesson,Provide short targeted instruction after a misconception or gap is detected,Remediate Misconception,Correct specific misunderstandings before learners continue
Extension Challenge,Provide an advanced task after learners meet mastery expectations,Extend Mastery,Deepen or broaden learning after core mastery is demonstrated
Prototype Design,Ask learners to produce a draft artifact solution model or plan,Support Creative Production,Move learners from understanding and evaluation toward original production
Advance Organizer,Provide a concise conceptual preview that orients learners to key terms relationships and task purpose before instruction,Prepare Prior Knowledge,Activate relevant prior knowledge and reduce confusion before learners enter a new topic
Dual Coding,Pair verbal explanations with diagrams tables examples or visual encodings so learners can process the same idea in multiple forms,Strengthen Representation,Improve understanding by representing a concept through complementary modes
Multiple Means Representation,Offer the same concept through alternative examples diagrams text demonstrations and annotated artifacts,Reduce Access Barriers,Make core learning content available through varied forms of representation
Choice Board,Offer a bounded set of task options that differ by context artifact or pathway while preserving the same objective,Increase Learner Agency,Support engagement by letting learners choose a meaningful route to the objective
Accessibility Checkpoint,Ask learners to inspect whether a resource artifact or explanation remains usable under accessibility constraints,Improve Inclusive Design,Connect learning products to accessibility-aware judgment and revision
Alternative Demonstration,Allow learners to show the same understanding through a written explanation diagram query model presentation or annotated artifact,Diversify Expression,Let learners demonstrate competence without requiring one narrow output form
Think Aloud Modeling,Demonstrate an expert process while narrating decisions uncertainties checks and corrections,Make Expert Reasoning Visible,Help learners see the reasoning moves behind a competent performance
Faded Worked Example,Start with a completed example and gradually remove steps so learners assume more of the reasoning load,Fade Instructional Support,Move learners from example study toward independent task completion
Self Explanation,Ask learners to explain each decision step relation or inference in their own words,Externalize Reasoning,Strengthen understanding by requiring learners to state why a step or claim is valid
Error Analysis,Ask learners to inspect a flawed artifact identify the error explain its consequence and propose a correction,Diagnose Misconception,Build skill by connecting mistakes to principles and repair actions
Analogical Comparison,Compare two structurally related examples to identify shared principles and important differences,Support Transfer,Help learners abstract a concept across examples without losing contextual detail
Case Based Scenario,Ground learning in a realistic case with actors constraints evidence and a decision that must be justified,Contextualize Learning,Help learners connect concepts to authentic situations and consequences
Simulation Exercise,Let learners manipulate a simplified system workflow or scenario and observe the consequences of decisions,Promote Experiential Practice,Support understanding through active experimentation with feedback from the scenario
Transfer Task,Ask learners to apply a concept or procedure in a new context that differs from the original example,Check Transfer,Determine whether learners can use knowledge beyond the practice context
Reflective Debrief,Guide learners to review evidence decisions confidence and remaining questions after a task or experience,Consolidate Learning,Turn activity outcomes into explicit learning claims and next steps
Learning Journal,Ask learners to maintain short entries about progress confusion examples and strategy choices across time,Support Ongoing Reflection,Help learners monitor learning over multiple activities or modules
Goal Setting Prompt,Ask learners to formulate a specific target skill success criterion and time-bounded learning intention,Clarify Learning Aim,Make the learning goal explicit enough to guide strategy selection
Learning Contract,Have learners define commitments resources milestones and evidence for a learning path,Structure Self Direction,Support self-directed learning with clear expectations and checkpoints
Progress Monitoring Checklist,Provide criteria or checkpoints that learners use to monitor completion quality and confidence while working,Monitor Progress,Help learners notice progress and gaps before final evaluation
Metacognitive Journal,Ask learners to record what strategy they used why they used it and how well it worked,Build Metacognitive Control,Improve learner ability to select and adapt strategies intentionally
